Manufacturer Name,Model Number,Technology,Energy_Capacity_kWh,Max_Continuous_Discharge_kW,C_Rate,Certificate Date (mm/dd/yyyy)
PHASEGREEN TECHNOLOGY INC,PhG-ESS-10L-S,LiFePO4,10,9,0.90,14/10/2022
PHASEGREEN TECHNOLOGY INC,PhG-ESS-15L-S,LiFePO4,15,10,0.67,14/10/2022
PHASEGREEN TECHNOLOGY INC,PhG-ESS-20L-S,LiFePO4,20,10,0.50,14/10/2022
Polarium Inc.,810-00046,Li-ion,4.74,6,1.27,30/12/2021
Polarium Inc.,810-00061,Li-ion,4.74,6,1.27,25/02/2022
Polarium Inc.,810-00164,Li-ion,8.55,6,0.70,16/02/2022
Polarium Inc.,SLB48-200-228-1U,Li-ion,9.67,6,0.62,06/04/2021
Power Center,DURA 5,LiFePO4,5.12,4.096,0.80,25/08/2023
"PYLON TECHNOLOGIES CO.,LTD",US3000C,LiFePO4,3.55,1.8,0.51,29/04/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M1-C-32/32V-L10,LiFePO4,4.74,4.74,1.00,24/12/2021
"PYLON TECHNOLOGIES CO.,LTD",US5000,LiFePO4,4.8,4.8,1.00,13/01/2022
"PYLON TECHNOLOGIES CO.,LTD",Pelio-L-5.12,LiFePO4,5.12,4.096,0.80,25/11/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/38.4V-L10,LiFePO4,5.68,5.68,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/38.4V-L15,LiFePO4,5.68,5.68,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/38.4V-E10,LiFePO4,5.683,2.8415,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/38.4V-E15,LiFePO4,5.683,2.8415,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",Force-H1-48/96V,LiFePO4,7.1,3.55,0.50,10/03/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M1-C-32/64V-L10,LiFePO4,9.47,9.47,1.00,24/12/2021
"PYLON TECHNOLOGIES CO.,LTD",Force-H1-48/144V,LiFePO4,10.66,5.33,0.50,10/03/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/76.8V-E10,LiFePO4,11.366,5.683,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/76.8V-E15,LiFePO4,11.366,5.683,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/76.8V-L10,LiFePO4,11.37,11.37,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/76.8V-L15,LiFePO4,11.37,11.37,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",Force-H1-48/192V,LiFePO4,14.21,7.1,0.50,10/03/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M1-C-32/96V-L10,LiFePO4,14.21,14.21,1.00,24/12/2021
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/64V-E15,LiFePO4,15.68,7.84,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/64V-L15,LiFePO4,15.68,7.84,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/115.2V-E10,LiFePO4,17.049,8.5245,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/115.2V-E15,LiFePO4,17.049,8.5245,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/115.2V-L10,LiFePO4,17.05,17.05,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/115.2V-L15,LiFePO4,17.05,17.05,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",Force-H1-48/240V,LiFePO4,17.76,8.88,0.50,10/03/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M1-C-32/128V-L10,LiFePO4,18.94,18.94,1.00,24/12/2021
